image_path,invoice_no_gt,invoice_date_gt,total_gt,invoice_no_pred,invoice_date_pred,total_pred,raw_prediction
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0157.png,,,,91966464,08/24/2020,"1267,95","```json
{
  ""invoice_nr"": ""91966464"",
  ""date"": ""08/24/2020"",
  ""total_amount"": ""1267,95""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0021.png,,,,51686132,06/27/2015,138495,"```json
{
  ""invoice_nr"": ""51686132"",
  ""date"": ""06/27/2015"",
  ""total_amount"": ""138495""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0174.png,,,,69087316,08/12/2011,"83,08","```json
{
  ""invoice_nr"": ""69087316"",
  ""date"": ""08/12/2011"",
  ""total_amount"": ""83,08""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0151.png,,,,16131761,12/04/2015,"361,96","```json
{
  ""invoice_nr"": ""16131761"",
  ""date"": ""12/04/2015"",
  ""total_amount"": ""361,96""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0099.png,,,,13310164,01/16/2020,"17045,00","```json
{
  ""invoice_nr"": ""13310164"",
  ""date"": ""01/16/2020"",
  ""total_amount"": ""17045,00""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0072.png,,,,77658002,01/21/2014,"293,76","```json
{
  ""invoice_nr"": ""77658002"",
  ""date"": ""01/21/2014"",
  ""total_amount"": ""293,76""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0160.png,,,,56282973,06/30/2015,"42066,72","```json
{
  ""invoice_nr"": ""56282973"",
  ""date"": ""06/30/2015"",
  ""total_amount"": ""42066,72""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0089.png,,,,61660848,05/30/2019,"24,12","```json
{
  ""invoice_nr"": ""61660848"",
  ""date"": ""05/30/2019"",
  ""total_amount"": ""24,12""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0193.png,,,,15226383,12/13/2012,"301,81","```json
{
  ""invoice_nr"": ""15226383"",
  ""date"": ""12/13/2012"",
  ""total_amount"": ""301,81""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0078.png,,,,55236311,10/21/2017,"126,96","```json
{
  ""invoice_nr"": ""55236311"",
  ""date"": ""10/21/2017"",
  ""total_amount"": ""126,96""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0130.png,,,,72744145,03/29/2016,"2805,00","```json
{
  ""invoice_nr"": ""72744145"",
  ""date"": ""03/29/2016"",
  ""total_amount"": ""2805,00""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0051.png,,,,28610769,06/19/2017,"1974,90","```json
{
  ""invoice_nr"": ""28610769"",
  ""date"": ""06/19/2017"",
  ""total_amount"": ""1974,90""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0106.png,,,,65507091,07/30/2014,"61429,21","```json
{
  ""invoice_nr"": ""65507091"",
  ""date"": ""07/30/2014"",
  ""total_amount"": ""61429,21""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0057.png,,,,17548173,10/20/2012,128085,"```json
{
  ""invoice_nr"": ""17548173"",
  ""date"": ""10/20/2012"",
  ""total_amount"": ""128085""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0070.png,,,,50368630,10/08/2018,3329398,"```json
{
  ""invoice_nr"": ""50368630"",
  ""date"": ""10/08/2018"",
  ""total_amount"": ""3329398""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0191.png,,,,19471831,04/09/2014,"40677,81","```json
{
  ""invoice_nr"": ""19471831"",
  ""date"": ""04/09/2014"",
  ""total_amount"": ""40677,81""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0144.png,,,,54533510,02/10/2021,"57,90","```json
{
  ""invoice_nr"": ""54533510"",
  ""date"": ""02/10/2021"",
  ""total_amount"": ""57,90""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0125.png,,,,81432357,07/30/2020,936888,"```json
{
  ""invoice_nr"": ""81432357"",
  ""date"": ""07/30/2020"",
  ""total_amount"": ""936888""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0128.png,,,,83613779,06/25/2014,"$815,93","```json
{
  ""invoice_nr"": ""83613779"",
  ""date"": ""06/25/2014"",
  ""total_amount"": ""$815,93""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0171.png,,,,89174655,01/19/2016,"101,19","```json
{
  ""invoice_nr"": ""89174655"",
  ""date"": ""01/19/2016"",
  ""total_amount"": ""101,19""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0093.png,,,,85583861,11/29/2020,"5669,92","```json
{
  ""invoice_nr"": ""85583861"",
  ""date"": ""11/29/2020"",
  ""total_amount"": ""5669,92""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0064.png,,,,29333870,03/06/2021,"10,99","```json
{
  ""invoice_nr"": ""29333870"",
  ""date"": ""03/06/2021"",
  ""total_amount"": ""10,99""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0135.png,,,,16692901,04/03/2018,"71,94","```json
{
  ""invoice_nr"": ""16692901"",
  ""date"": ""04/03/2018"",
  ""total_amount"": ""71,94""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0074.png,,,,43453121,03/24/2021,"182,78","```json
{
  ""invoice_nr"": ""43453121"",
  ""date"": ""03/24/2021"",
  ""total_amount"": ""182,78""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0164.png,,,,75106829,09/03/2011,"321,95","```json
{
  ""invoice_nr"": ""75106829"",
  ""date"": ""09/03/2011"",
  ""total_amount"": ""321,95""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0012.png,,,,87278875,07/06/2019,"68,74","```json
{
  ""invoice_nr"": ""87278875"",
  ""date"": ""07/06/2019"",
  ""total_amount"": ""68,74""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0122.png,,,,75499908,11/15/2017,105546,"```json
{
  ""invoice_nr"": ""75499908"",
  ""date"": ""11/15/2017"",
  ""total_amount"": ""105546""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0112.png,,,,46301857,04/08/2017,"59,35","```json
{
  ""invoice_nr"": ""46301857"",
  ""date"": ""04/08/2017"",
  ""total_amount"": ""59,35""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0075.png,,,,38996645,02/16/2015,"274,90","```json
{
  ""invoice_nr"": ""38996645"",
  ""date"": ""02/16/2015"",
  ""total_amount"": ""274,90""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0030.png,,,,12456262,02/22/2012,5333433,"```json
{
  ""invoice_nr"": ""12456262"",
  ""date"": ""02/22/2012"",
  ""total_amount"": ""5333433""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0159.png,,,,37020779,12/23/2019,"358,49","```json
{
  ""invoice_nr"": ""37020779"",
  ""date"": ""12/23/2019"",
  ""total_amount"": ""358,49""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0194.png,,,,31137784,01/27/2015,"69,96","```json
{
  ""invoice_nr"": ""31137784"",
  ""date"": ""01/27/2015"",
  ""total_amount"": ""69,96""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0200.png,,,,82087318,07/31/2019,11017.83,"```json
{
  ""invoice_nr"": ""82087318"",
  ""date"": ""07/31/2019"",
  ""total_amount"": ""11017.83""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0025.png,,,,95707254,07/20/2020,27507,"```json
{
  ""invoice_nr"": ""95707254"",
  ""date"": ""07/20/2020"",
  ""total_amount"": 27507
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0050.png,,,,29470022,02/17/2019,"522,28","```json
{
  ""invoice_nr"": ""29470022"",
  ""date"": ""02/17/2019"",
  ""total_amount"": ""522,28""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0197.png,,,,64480147,04/09/2012,276987,"```json
{
  ""invoice_nr"": ""64480147"",
  ""date"": ""04/09/2012"",
  ""total_amount"": ""276987""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0129.png,,,,40394912,03/23/2020,"1245,00","```json
{
  ""invoice_nr"": ""40394912"",
  ""date"": ""03/23/2020"",
  ""total_amount"": ""1245,00""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0082.png,,,,10541959,02/19/2017,2614,"```json
{
  ""invoice_nr"": ""10541959"",
  ""date"": ""02/19/2017"",
  ""total_amount"": ""2614""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0085.png,,,,35050964,11/18/2011,"603,65","```json
{
  ""invoice_nr"": ""35050964"",
  ""date"": ""11/18/2011"",
  ""total_amount"": ""603,65""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0178.png,,,,71177260,06/11/2014,38414,"```json
{
  ""invoice_nr"": ""71177260"",
  ""date"": ""06/11/2014"",
  ""total_amount"": ""38414""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0059.png,,,,27188556,03/10/2019,1691321,"```json
{
  ""invoice_nr"": ""27188556"",
  ""date"": ""03/10/2019"",
  ""total_amount"": ""1691321""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0154.png,,,,54569960,12/06/2020,"293,74","```json
{
  ""invoice_nr"": ""54569960"",
  ""date"": ""12/06/2020"",
  ""total_amount"": ""293,74""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0006.png,,,,42485588,03/15/2012,"194,92","```json
{
  ""invoice_nr"": ""42485588"",
  ""date"": ""03/15/2012"",
  ""total_amount"": ""194,92""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0022.png,,,,38829380,12/25/2017,"17009,66","```json
{
  ""invoice_nr"": ""38829380"",
  ""date"": ""12/25/2017"",
  ""total_amount"": ""17009,66""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0071.png,,,,84404809,09/11/2011,"111,90","```json
{
  ""invoice_nr"": ""84404809"",
  ""date"": ""09/11/2011"",
  ""total_amount"": ""111,90""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0127.png,,,,80918693,06/19/2020,"680,22","```json
{
  ""invoice_nr"": ""80918693"",
  ""date"": ""06/19/2020"",
  ""total_amount"": ""680,22""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0152.png,,,,86883880,06/16/2018,"204,72","```json
{
  ""invoice_nr"": ""86883880"",
  ""date"": ""06/16/2018"",
  ""total_amount"": ""204,72""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0054.png,,,,13110923,12/21/2013,"27808,00","```json
{
  ""invoice_nr"": ""13110923"",
  ""date"": ""12/21/2013"",
  ""total_amount"": ""27808,00""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0111.png,,,,81163184,10/23/2017,4.36,"```json
{
  ""invoice_nr"": ""81163184"",
  ""date"": ""10/23/2017"",
  ""total_amount"": ""4.36""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0058.png,,,,16581981,07/26/2016,"202,35","```json
{
  ""invoice_nr"": ""16581981"",
  ""date"": ""07/26/2016"",
  ""total_amount"": ""202,35""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0045.png,,,,80930562,08/14/2012,175982,"```json
{
  ""invoice_nr"": ""80930562"",
  ""date"": ""08/14/2012"",
  ""total_amount"": ""175982""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0018.png,,,,33931957,12/17/2015,"25,00","```json
{
  ""invoice_nr"": ""33931957"",
  ""date"": ""12/17/2015"",
  ""total_amount"": ""25,00""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0167.png,,,,43846862,01/10/2017,481494,"```json
{
  ""invoice_nr"": ""43846862"",
  ""date"": ""01/10/2017"",
  ""total_amount"": ""481494""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0186.png,,,,38557956,08/16/2013,"531,35","```json
{
  ""invoice_nr"": ""38557956"",
  ""date"": ""08/16/2013"",
  ""total_amount"": ""531,35""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0173.png,,,,92034501,12/12/2015,"14331,06","```json
{
  ""invoice_nr"": ""92034501"",
  ""date"": ""12/12/2015"",
  ""total_amount"": ""14331,06""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0015.png,,,,61619303,09/20/2013,"961,21","```json
{
  ""invoice_nr"": ""61619303"",
  ""date"": ""09/20/2013"",
  ""total_amount"": ""961,21""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0189.png,,,,95894022,07/17/2014,"153,95","```json
{
  ""invoice_nr"": ""95894022"",
  ""date"": ""07/17/2014"",
  ""total_amount"": ""153,95""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0126.png,,,,19136863,11/15/2013,"$2291,85","```json
{
  ""invoice_nr"": ""19136863"",
  ""date"": ""11/15/2013"",
  ""total_amount"": ""$2291,85""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0143.png,,,,10372826,05/15/2019,"251,45","```json
{
  ""invoice_nr"": ""10372826"",
  ""date"": ""05/15/2019"",
  ""total_amount"": ""251,45""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0011.png,,,,39280409,07/06/2014,160667,"```json
{
  ""invoice_nr"": ""39280409"",
  ""date"": ""07/06/2014"",
  ""total_amount"": ""160667""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0136.png,,,,27216737,05/23/2018,1687396,"```json
{
  ""invoice_nr"": ""27216737"",
  ""date"": ""05/23/2018"",
  ""total_amount"": ""1687396""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0133.png,,,,51265939,11/16/2016,536952,"```json
{
  ""invoice_nr"": ""51265939"",
  ""date"": ""11/16/2016"",
  ""total_amount"": ""536952""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0150.png,,,,43417184,01/15/2017,"308,90","```json
{
  ""invoice_nr"": ""43417184"",
  ""date"": ""01/15/2017"",
  ""total_amount"": ""308,90""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0005.png,,,,26020078,11/19/2019,"105,93","```json
{
  ""invoice_nr"": ""26020078"",
  ""date"": ""11/19/2019"",
  ""total_amount"": ""105,93""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0114.png,,,,27139567,07/14/2017,"44106,94","```json
{
  ""invoice_nr"": ""27139567"",
  ""date"": ""07/14/2017"",
  ""total_amount"": ""44106,94""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0162.png,,,,93281048,11/27/2017,"$38789,83","```json
{
  ""invoice_nr"": ""93281048"",
  ""date"": ""11/27/2017"",
  ""total_amount"": ""$38789,83""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0023.png,,,,49923258,10/26/2011,"1075,00","```json
{
  ""invoice_nr"": ""49923258"",
  ""date"": ""10/26/2011"",
  ""total_amount"": ""1075,00""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0169.png,,,,45181097,02/24/2018,"500,29","```json
{
  ""invoice_nr"": ""45181097"",
  ""date"": ""02/24/2018"",
  ""total_amount"": ""500,29""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0188.png,,,,96556696,02/25/2016,"$932,37","```json
{
  ""invoice_nr"": ""96556696"",
  ""date"": ""02/25/2016"",
  ""total_amount"": ""$932,37""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0032.png,,,,20850516,07/10/2017,"177,55","```json
{
  ""invoice_nr"": ""20850516"",
  ""date"": ""07/10/2017"",
  ""total_amount"": ""177,55""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0049.png,,,,94885760,08/22/2012,"54,95","```json
{
  ""invoice_nr"": ""94885760"",
  ""date"": ""08/22/2012"",
  ""total_amount"": ""54,95""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0146.png,,,,39760888,07/20/2017,"517,90","```json
{
  ""invoice_nr"": ""39760888"",
  ""date"": ""07/20/2017"",
  ""total_amount"": ""517,90""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0004.png,,,,95611677,07/19/2016,"958,27","```json
{
  ""invoice_nr"": ""95611677"",
  ""date"": ""07/19/2016"",
  ""total_amount"": ""958,27""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0084.png,,,,62312762,03/08/2019,"981,89","```json
{
  ""invoice_nr"": ""62312762"",
  ""date"": ""03/08/2019"",
  ""total_amount"": ""981,89""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0037.png,,,,26248685,05/26/2018,"281,00","```json
{
  ""invoice_nr"": ""26248685"",
  ""date"": ""05/26/2018"",
  ""total_amount"": ""281,00""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0180.png,,,,92802196,04/09/2017,"624,32","```json
{
  ""invoice_nr"": ""92802196"",
  ""date"": ""04/09/2017"",
  ""total_amount"": ""624,32""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0033.png,,,,34911755,01/30/2019,"199,20","```json
{
  ""invoice_nr"": ""34911755"",
  ""date"": ""01/30/2019"",
  ""total_amount"": ""199,20""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0120.png,,,,41925448,08/19/2019,"$359,96","```json
{
  ""invoice_nr"": ""41925448"",
  ""date"": ""08/19/2019"",
  ""total_amount"": ""$359,96""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0185.png,,,,48186352,06/10/2013,"873,96","```json
{
  ""invoice_nr"": ""48186352"",
  ""date"": ""06/10/2013"",
  ""total_amount"": ""873,96""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0132.png,,,,59336079,01/09/2012,"$ 1,99","```json
{
  ""invoice_nr"": ""59336079"",
  ""date"": ""01/09/2012"",
  ""total_amount"": ""$ 1,99""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0062.png,,,,93356118,06/14/2013,"8768,98","```json
{
  ""invoice_nr"": ""93356118"",
  ""date"": ""06/14/2013"",
  ""total_amount"": ""8768,98""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0026.png,,,,72346654,10/25/2015,"6757,46","```json
{
  ""invoice_nr"": ""72346654"",
  ""date"": ""10/25/2015"",
  ""total_amount"": ""6757,46""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0002.png,,,,61356291,09/06/2012,"192,81","```json
{
  ""invoice_nr"": ""61356291"",
  ""date"": ""09/06/2012"",
  ""total_amount"": ""192,81""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0020.png,,,,94133236,12/12/2019,10398680,"```json
{
  ""invoice_nr"": ""94133236"",
  ""date"": ""12/12/2019"",
  ""total_amount"": ""10398680""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0088.png,,,,83347787,06/05/2013,"507,14","```json
{
  ""invoice_nr"": ""83347787"",
  ""date"": ""06/05/2013"",
  ""total_amount"": ""507,14""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0094.png,,,,52337235,05/30/2020,"461,34","```json
{
  ""invoice_nr"": ""52337235"",
  ""date"": ""05/30/2020"",
  ""total_amount"": ""461,34""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0065.png,,,,19832522,09/27/2016,"69,92","```json
{
  ""invoice_nr"": ""19832522"",
  ""date"": ""09/27/2016"",
  ""total_amount"": ""69,92""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0196.png,,,,76820481,07/08/2016,"117,04","```json
{
  ""invoice_nr"": ""76820481"",
  ""date"": ""07/08/2016"",
  ""total_amount"": ""117,04""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0087.png,,,,95635623,08/11/2019,36137,"```json
{
  ""invoice_nr"": ""95635623"",
  ""date"": ""08/11/2019"",
  ""total_amount"": 36137
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0113.png,,,,41389063,03/17/2021,"14,67","```json
{
  ""invoice_nr"": ""41389063"",
  ""date"": ""03/17/2021"",
  ""total_amount"": ""14,67""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0177.png,,,,10817861,06/09/2020,"10800,00","```json
{
  ""invoice_nr"": ""10817861"",
  ""date"": ""06/09/2020"",
  ""total_amount"": ""10800,00""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0043.png,,,,32656405,10/25/2013,"801,86","```json
{
  ""invoice_nr"": ""32656405"",
  ""date"": ""10/25/2013"",
  ""total_amount"": ""801,86""
}
```"
../../invoices_dataset/eval_data/dataset1_katanaml_train_katanaml_0161.png,,,,38248291,06/18/2012,"277,79","```json
{
  ""invoice_nr"": ""38248291"",
  ""date"": ""06/18/2012"",
  ""total_amount"": ""277,79""
}
```"
